epoch	loss	acc	lr
1	2.788003744187842	9.441233140655106	1e-06
2	2.5838812316313873	21.19460500963391	1e-06
3	2.7364167795015897	7.707129094412331	1e-06
4	2.5304473677581907	17.148362235067438	1e-06
5	2.464374627221756	15.221579961464354	1e-06
6	2.367557847890321	20.809248554913296	1e-06
7	2.3817091323507085	14.836223506743737	1e-06
8	2.1305606732708413	32.947976878612714	1e-06
9	2.4091691447131205	26.396917148362235	1e-06
10	2.266899543460853	28.131021194605008	1e-06
11	2.1954674814937203	33.333333333333336	1e-06
12	2.0470310543773262	40.65510597302505	1e-06
13	1.9542691657079208	40.65510597302505	1e-06
14	1.9250528118743602	43.54527938342967	1e-06
15	1.9764508284585325	41.42581888246628	1e-06
16	1.8836927349627133	47.97687861271676	1e-06
17	1.8950292825239472	43.737957610789984	1e-06
18	1.8133162335853357	43.93063583815029	1e-06
19	1.7743260447000493	48.747591522158	1e-06
20	1.8008441929642636	48.16955684007707	1e-06
21	1.7408856555446264	50.28901734104046	1e-06
22	1.7831770296501057	47.784200385356456	1e-06
23	1.5410656012551633	57.61078998073218	1e-06
24	1.6862675794516915	55.6840077071291	1e-06
25	1.614168401628101	56.64739884393064	1e-06
26	1.6428568925931044	54.527938342967246	1e-06
27	1.5950221657063919	56.64739884393064	1e-06
28	1.4263965238266139	58.959537572254334	1e-06
29	1.5605077835406411	56.262042389210016	1e-06
30	1.545090107100088	58.959537572254334	1e-06
31	1.421169625311688	59.922928709055874	1e-06
32	1.5212960886358067	60.886319845857415	1e-06
33	1.5706968505028815	59.73025048169557	1e-06
34	1.403038393555349	62.042389210019266	1e-06
35	1.5953754292287807	55.8766859344894	1e-06
36	1.4145987982465122	63.19845857418112	1e-06
37	1.4219420819842976	61.65703275529865	1e-06
38	1.3692724769055729	64.16184971098266	1e-06
39	1.316295637216182	64.73988439306359	1e-06
40	1.257822713181233	67.6300578034682	1e-06
41	1.2708203158626667	65.70327552986512	1e-06
42	1.2448994444973895	67.05202312138728	1e-06
43	1.2993568232523454	67.05202312138728	1e-06
44	1.163614580396972	69.17148362235068	1e-06
45	1.190579575839989	68.20809248554913	1e-06
46	1.2795888356620406	65.89595375722543	1e-06
47	1.1751921323912222	70.52023121387283	1e-06
48	1.1641684019496674	69.94219653179191	1e-06
49	1.1674585615738737	69.7495183044316	1e-06
50	1.2729383945924468	68.97880539499036	1e-06
51	1.3186054544412102	66.28131021194605	1e-06
52	1.147386257359058	69.36416184971098	1e-06
53	1.2148214567144022	68.40077071290943	1e-06
54	1.2117689094561832	69.55684007707129	1e-06
55	1.16395755241372	69.55684007707129	1e-06
56	1.1171826850012778	69.94219653179191	1e-06
57	1.2038708534773603	69.94219653179191	1e-06
58	1.2256458021542471	67.2447013487476	1e-06
59	1.1786685928214262	66.85934489402698	1e-06
60	1.1000841918019202	69.7495183044316	1e-06
61	1.1277710895317827	69.36416184971098	1e-06
62	1.1353618271778085	68.78612716763006	1e-06
63	1.1498300059912063	69.17148362235068	1e-06
64	1.0592377015850678	73.21772639691714	1e-06
65	1.1469415406730592	68.97880539499036	1e-06
66	1.1154309867204728	69.7495183044316	1e-06
67	1.0890360161059165	69.55684007707129	1e-06
68	1.031292184928938	71.67630057803468	1e-06
69	1.1135702473120423	70.32755298651253	1e-06
70	1.0723841547506623	70.90558766859345	1e-06
71	1.0542604767058856	71.48362235067438	1e-06
72	1.0258018174612453	70.71290944123314	1e-06
73	1.0849977240167372	67.6300578034682	1e-06
74	1.0795883902694907	72.44701348747591	1e-06
75	1.0720578626171473	69.94219653179191	1e-06
76	1.1229322072628147	69.94219653179191	1e-06
77	1.0531586992028592	73.02504816955684	1e-06
78	1.0229115555052124	72.44701348747591	1e-06
79	1.0150127739345867	72.25433526011561	1e-06
80	1.044681626248222	71.09826589595376	1e-06
81	1.0528178913285506	69.7495183044316	1e-06
