epoch	loss	acc	lr
279	135769.12782814025	0.69	0.001
280	134039.5235053253	0.74	0.001
281	132182.49561767577	0.75	0.001
282	130312.13634254456	0.76	0.001
283	128556.19481758117	0.7	0.001
284	126628.36735717773	0.71	0.001
285	125010.8675504303	0.77	0.001
286	123205.64756736756	0.79	0.001
287	121442.53046333313	0.83	0.001
288	119720.33078136444	0.77	0.001
289	118059.44047771454	0.76	0.001
290	116491.49541797637	0.72	0.001
291	114752.34307273864	0.78	0.001
292	113214.74612854003	0.8	0.001
293	111722.87657501221	0.7	0.001
294	110179.55678340912	0.81	0.001
295	108585.94244785309	0.73	0.001
296	107198.68665534974	0.69	0.001
297	105726.73453590393	0.74	0.001
298	104117.94308040618	0.82	0.001
299	102723.71174869538	0.75	0.001
300	101236.94757232667	0.77	0.001
301	99819.53837955475	0.78	0.001
302	98496.46293746948	0.78	0.001
303	97125.96629070283	0.7	0.001
304	95849.16630477905	0.71	0.001
305	94488.62253021241	0.75	0.001
306	93170.00143463135	0.7	0.001
307	91959.31454856873	0.68	0.001
308	90653.65299022675	0.68	0.001
309	89377.97729553223	0.81	0.001
310	88052.0776732254	0.74	0.001
311	86970.20409637451	0.73	0.001
312	85802.64197288513	0.83	0.001
313	84605.98980171204	0.79	0.001
314	83426.85858787537	0.81	0.001
315	82369.21009010315	0.77	0.001
316	81117.9020665741	0.8	0.001
317	80143.08469539642	0.84	0.001
318	78903.3412821579	0.83	0.001
319	77939.43346599578	0.85	0.001
320	76726.45232501984	0.83	0.001
321	75945.23707042694	0.83	0.001
322	74825.76915275573	0.87	0.001
323	73921.59165981293	0.78	0.001
324	72852.52845191956	0.75	0.001
325	71855.05603954315	0.74	0.001
326	70930.37965938568	0.77	0.001
327	69897.93084293365	0.79	0.001
328	69092.20783779144	0.81	0.001
329	68209.52651504516	0.78	0.001
330	67287.80987934112	0.77	0.001
331	66406.64214237213	0.74	0.001
332	65603.78585884094	0.76	0.001
333	64515.02439155579	0.79	0.001
334	63771.00996955871	0.71	0.001
335	62950.05158821106	0.79	0.001
336	62031.43321811676	0.8	0.001
337	61197.23512147903	0.8	0.001
338	60415.17771846771	0.74	0.001
339	59580.44587970734	0.77	0.001
340	58864.19896713257	0.79	0.001
341	58116.8209582901	0.76	0.001
342	57430.350929031374	0.86	0.001
343	56599.66780960083	0.83	0.001
344	55901.7557683754	0.77	0.001
345	55206.272454566955	0.77	0.001
346	54542.3356398201	0.8	0.001
347	53775.15565107346	0.73	0.001
348	53099.311420784	0.84	0.001
349	52418.45696138382	0.83	0.001
350	51744.9485313797	0.82	0.001
351	51074.52150276184	0.81	0.001
352	50533.52701644898	0.78	0.001
353	49792.41545768738	0.74	0.001
354	49172.63320417404	0.8	0.001
355	48612.62557329178	0.82	0.001
356	47956.64853315354	0.77	0.001
357	47392.62540973663	0.79	0.001
358	46755.13712791443	0.81	0.001
359	46210.9101651001	0.84	0.001
360	45601.85590553284	0.81	0.001
361	45124.3607340622	0.93	0.001
362	44556.89639144897	0.86	0.001
363	44020.542144889834	0.87	0.001
364	43490.08672405243	0.83	0.001
365	42940.76127511978	0.88	0.001
366	42385.117844963075	0.78	0.001
367	41915.91421695709	0.81	0.001
368	41447.64629671097	0.79	0.001
369	40915.37643701553	0.81	0.001
370	40414.55123235702	0.71	0.001
371	39895.78546731949	0.87	0.001
372	39476.06476512909	0.8	0.001
373	39020.725879325866	0.82	0.001
374	38524.24697076798	0.82	0.001
375	38039.59293807983	0.84	0.001
376	37660.32845069885	0.8	0.001
377	37276.585222854614	0.82	0.001
378	36848.77076974869	0.75	0.001
379	36431.40112333298	0.8	0.001
380	35947.00398645401	0.83	0.001
381	35612.18315410614	0.77	0.001
382	35179.6434031105	0.83	0.001
383	34771.97472026825	0.81	0.001
384	34354.68080459595	0.79	0.001
385	33910.74427270889	0.8	0.001
386	33621.33610328674	0.83	0.001
387	33204.77447580337	0.79	0.001
