epoch	loss	acc	lr
1	1456218496.9282608	0.05217391304347826	0.001
2	1446564927.2983696	0.043478260869565216	0.001
3	1439484610.2027173	0.11304347826086956	0.001
4	1432926546.3586957	0.12173913043478261	0.001
5	1426606991.723913	0.10434782608695652	0.001
6	1420538851.1782608	0.1391304347826087	0.001
7	1414323552.5690217	0.14782608695652175	0.001
8	1408776954.5434783	0.17391304347826086	0.001
9	1402760356.2847826	0.21739130434782608	0.001
10	1397154627.0880435	0.06956521739130435	0.001
11	1390711863.2847826	0.1565217391304348	0.001
12	1385417904.9288044	0.10434782608695652	0.001
13	1379396252.3184783	0.10434782608695652	0.001
14	1373996720.8483696	0.1391304347826087	0.001
15	1368529895.127174	0.1565217391304348	0.001
16	1362838783.4690218	0.16521739130434782	0.001
17	1357682739.389674	0.13043478260869565	0.001
18	1351955863.9907608	0.23478260869565218	0.001
19	1346517932.2907608	0.10434782608695652	0.001
20	1341398875.188587	0.14782608695652175	0.001
21	1336017913.654348	0.10434782608695652	0.001
22	1330793410.0043478	0.1565217391304348	0.001
23	1325772696.5717392	0.11304347826086956	0.001
24	1320732523.1032608	0.1391304347826087	0.001
25	1315449531.2054348	0.17391304347826086	0.001
26	1310543610.9266305	0.08695652173913043	0.001
27	1305438029.3798914	0.2	0.001
28	1300057591.859239	0.1391304347826087	0.001
29	1295144109.1951087	0.16521739130434782	0.001
30	1290080228.8293478	0.06956521739130435	0.001
31	1285405679.0521739	0.0782608695652174	0.001
32	1280808617.9336956	0.13043478260869565	0.0001
33	1280316916.7472825	0.12173913043478261	0.0001
34	1279874713.6804347	0.14782608695652175	0.0001
35	1279440154.515761	0.1826086956521739	0.0001
36	1278932312.4255435	0.14782608695652175	0.0001
37	1278372489.388587	0.1565217391304348	0.0001
38	1278090120.8119564	0.17391304347826086	0.0001
39	1277305734.660326	0.13043478260869565	0.0001
40	1276653339.173913	0.0782608695652174	0.0001
41	1276206328.166848	0.2	0.0001
42	1275927117.091848	0.1391304347826087	0.0001
43	1275477210.6869564	0.12173913043478261	1e-05
44	1275498843.1597826	0.1565217391304348	1e-05
45	1275382055.6608696	0.08695652173913043	1e-05
46	1275435290.3929348	0.11304347826086956	1e-05
47	1275136921.8266304	0.1826086956521739	1e-05
48	1275172261.839674	0.1391304347826087	1e-05
49	1274963565.8402174	0.1391304347826087	1e-05
50	1275295554.6277175	0.21739130434782608	1e-05
51	1275129330.8902173	0.2	1e-05
52	1275112574.8516304	0.14782608695652175	1e-05
53	1275156343.3402174	0.17391304347826086	1e-05
54	1274966847.7315218	0.1391304347826087	1.0000000000000002e-06
55	1274888018.3173914	0.13043478260869565	1.0000000000000002e-06
56	1274795182.3304348	0.13043478260869565	1.0000000000000002e-06
57	1274986190.7733696	0.16521739130434782	1.0000000000000002e-06
58	1275052685.3581522	0.12173913043478261	1.0000000000000002e-06
59	1275221839.0592391	0.1826086956521739	1.0000000000000002e-06
60	1274859552.3532608	0.1565217391304348	1.0000000000000002e-06
61	1275185585.4184783	0.1565217391304348	1.0000000000000002e-06
62	1275007097.7652173	0.14782608695652175	1.0000000000000002e-06
63	1274717912.7576087	0.10434782608695652	1.0000000000000002e-06
64	1274723601.0891304	0.1391304347826087	1.0000000000000002e-06
