epoch	loss	acc	lr
1	1969287.6235889283	0.08559498956158663	0.0001
2	1968144.924109266	0.081419624217119	0.0001
3	1966915.7914663486	0.07724425887265135	0.0001
4	1965785.9413471422	0.08768267223382047	0.0001
5	1964415.9874836518	0.08768267223382047	0.0001
6	1963285.543443381	0.09394572025052192	0.0001
7	1961896.5763122782	0.0918580375782881	0.0001
8	1961206.6055381154	0.07515657620041753	0.0001
9	1959404.0273378408	0.081419624217119	0.0001
10	1958267.632590531	0.09603340292275574	0.0001
11	1957134.9816098302	0.1022964509394572	0.0001
12	1956123.3978781013	0.10020876826722339	0.0001
13	1954831.4072304808	0.0709812108559499	0.0001
14	1953578.73508842	0.07306889352818371	0.0001
15	nan	0.025052192066805846	0.0001
16	nan	0.027139874739039668	0.0001
17	nan	0.025052192066805846	0.0001
18	nan	0.025052192066805846	0.0001
19	nan	0.031315240083507306	0.0001
20	nan	0.027139874739039668	0.0001
21	nan	0.014613778705636743	0.0001
22	nan	0.022964509394572025	0.0001
23	nan	0.033402922755741124	0.0001
24	nan	0.027139874739039668	0.0001
25	nan	0.020876826722338204	0.0001
26	nan	0.018789144050104383	0.0001
27	nan	0.029227557411273485	0.0001
28	nan	0.022964509394572025	0.0001
29	nan	0.027139874739039668	0.0001
30	nan	0.025052192066805846	0.0001
31	nan	0.022964509394572025	0.0001
32	nan	0.022964509394572025	0.0001
33	nan	0.016701461377870562	0.0001
34	nan	0.016701461377870562	0.0001
35	nan	0.031315240083507306	0.0001
36	nan	0.033402922755741124	0.0001
37	nan	0.012526096033402923	0.0001
38	nan	0.020876826722338204	0.0001
39	nan	0.033402922755741124	0.0001
40	nan	0.025052192066805846	0.0001
41	nan	0.022964509394572025	0.0001
42	nan	0.016701461377870562	0.0001
43	nan	0.014613778705636743	0.0001
44	nan	0.022964509394572025	0.0001
45	nan	0.018789144050104383	0.0001
46	nan	0.029227557411273485	0.0001
47	nan	0.025052192066805846	0.0001
48	nan	0.027139874739039668	0.0001
49	nan	0.031315240083507306	0.0001
50	nan	0.022964509394572025	0.0001
51	nan	0.018789144050104383	0.0001
52	nan	0.022964509394572025	0.0001
53	nan	0.010438413361169102	1e-05
54	nan	0.016701461377870562	1e-05
55	nan	0.020876826722338204	1e-05
56	nan	0.022964509394572025	1e-05
57	nan	0.029227557411273485	1e-05
58	nan	0.016701461377870562	1e-05
59	nan	0.022964509394572025	1e-05
60	nan	0.020876826722338204	1e-05
61	nan	0.018789144050104383	1e-05
62	nan	0.025052192066805846	1e-05
63	nan	0.018789144050104383	1e-05
64	nan	0.031315240083507306	1e-05
65	nan	0.027139874739039668	1e-05
66	nan	0.031315240083507306	1e-05
